YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKDAY,12,TRAIN,CC4/DT15,19459,31256
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,5579,15075
2024-05,WEEKDAY,15,TRAIN,NE4/DT19,57945,50882
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,38334,32730
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,SW1,984,823
2024-05,WEEKDAY,8,TRAIN,SW1,4434,7556
2024-05,WEEKDAY,9,TRAIN,NS10,61678,25853
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,NS10,25041,11119
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,DT33,7120,3065
2024-05,WEEKDAY,7,TRAIN,DT33,70150,28782
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,DT24,25,277
2024-05,WEEKDAY,0,TRAIN,DT24,33,455
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NS18,117,882
2024-05,WEEKDAY,0,TRAIN,NS18,276,1586
2024-05,WEEKDAY,22,TRAIN,NS24/NE6/CC1,36520,10128
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,14923,4686
2024-05,WEEKDAY,21,TRAIN,EW3,10527,23315
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4764,9607
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,8607,2082
2024-05,WEEKDAY,21,TRAIN,CG1/DT35,20061,3161
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,33374,32929
2024-05,WEEKDAY,13,TRAIN,NS21/DT11,50419,64056
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,TE12,2172,1418
2024-05,WEEKDAY,17,TRAIN,TE12,14451,3644
2024-05,WEEKDAY,7,TRAIN,CC23,3443,37973
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,CC23,900,2815
2024-05,WEEKDAY,16,TRAIN,SW1,5709,2635
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1651,1047
2024-05,WEEKDAY,20,TRAIN,NE15,10939,37921
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,NE15,5221,13788
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,EW29,6159,4350
2024-05,WEEKDAY,13,TRAIN,EW29,8579,7279
2024-05,WEEKDAY,13,TRAIN,EW30,1303,1133
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,EW30,1175,498
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,EW32,2804,5219
2024-05,WEEKDAY,7,TRAIN,EW32,5852,33224
2024-05,WEEKDAY,7,TRAIN,NE14,97617,38125
